"ccode","year","terror_attacks"
"ALB",2000,0
"ALB",2001,0
"ALB",2002,0
"ALB",2003,0
"ALB",2004,0
"ALB",2005,0
"ALB",2006,1
"ALB",2007,0
"ALB",2008,0
"ALB",2009,0
"ALB",2010,0
"ALB",2011,0
"ALB",2012,0
"ALB",2013,0
"ALB",2014,0
"ALB",2015,0
"ALB",2016,0
"ALB",2017,0
"ALB",2018,0
"ALB",2019,0
"ALB",2020,0
"BEL",2000,0
"BEL",2001,0
"BEL",2002,0
"BEL",2003,10
"BEL",2004,10
"BEL",2005,0
"BEL",2006,0
"BEL",2007,0
"BEL",2008,0
"BEL",2009,1
"BEL",2010,0
"BEL",2011,1
"BEL",2012,0
"BEL",2013,0
"BEL",2014,1
"BEL",2015,1
"BEL",2016,3
"BEL",2017,2
"BEL",2018,1
"BEL",2019,1
"BEL",2020,0
"BGR",2000,0
"BGR",2001,0
"BGR",2002,0
"BGR",2003,0
"BGR",2004,0
"BGR",2005,0
"BGR",2006,0
"BGR",2007,0
"BGR",2008,0
"BGR",2009,0
"BGR",2010,0
"BGR",2011,0
"BGR",2012,1
"BGR",2013,0
"BGR",2014,0
"BGR",2015,0
"BGR",2016,0
"BGR",2017,0
"BGR",2018,0
"BGR",2019,0
"BGR",2020,0
"CAN",2000,2
"CAN",2001,0
"CAN",2002,0
"CAN",2003,0
"CAN",2004,0
"CAN",2005,0
"CAN",2006,0
"CAN",2007,0
"CAN",2008,0
"CAN",2009,0
"CAN",2010,0
"CAN",2011,0
"CAN",2012,0
"CAN",2013,1
"CAN",2014,0
"CAN",2015,2
"CAN",2016,0
"CAN",2017,0
"CAN",2018,0
"CAN",2019,0
"CAN",2020,0
"CZE",2000,0
"CZE",2001,0
"CZE",2002,0
"CZE",2003,0
"CZE",2004,1
"CZE",2005,0
"CZE",2006,1
"CZE",2007,0
"CZE",2008,0
"CZE",2009,0
"CZE",2010,0
"CZE",2011,0
"CZE",2012,0
"CZE",2013,0
"CZE",2014,2
"CZE",2015,0
"CZE",2016,1
"CZE",2017,0
"CZE",2018,0
"CZE",2019,0
"CZE",2020,0
"DEU",2000,3
"DEU",2001,0
"DEU",2002,2
"DEU",2003,6
"DEU",2004,2
"DEU",2005,0
"DEU",2006,0
"DEU",2007,1
"DEU",2008,0
"DEU",2009,0
"DEU",2010,1
"DEU",2011,3
"DEU",2012,0
"DEU",2013,0
"DEU",2014,0
"DEU",2015,5
"DEU",2016,7
"DEU",2017,4
"DEU",2018,2
"DEU",2019,5
"DEU",2020,5
"DNK",2000,0
"DNK",2001,0
"DNK",2002,1
"DNK",2003,0
"DNK",2004,0
"DNK",2005,0
"DNK",2006,0
"DNK",2007,1
"DNK",2008,1
"DNK",2009,0
"DNK",2010,2
"DNK",2011,0
"DNK",2012,1
"DNK",2013,0
"DNK",2014,0
"DNK",2015,0
"DNK",2016,0
"DNK",2017,0
"DNK",2018,1
"DNK",2019,0
"DNK",2020,0
"ESP",2000,4
"ESP",2001,0
"ESP",2002,1
"ESP",2003,2
"ESP",2004,2
"ESP",2005,0
"ESP",2006,1
"ESP",2007,0
"ESP",2008,1
"ESP",2009,0
"ESP",2010,0
"ESP",2011,0
"ESP",2012,1
"ESP",2013,1
"ESP",2014,1
"ESP",2015,0
"ESP",2016,1
"ESP",2017,5
"ESP",2018,0
"ESP",2019,1
"ESP",2020,0
"EST",2000,0
"EST",2001,0
"EST",2002,0
"EST",2003,0
"EST",2004,0
"EST",2005,0
"EST",2006,0
"EST",2007,1
"EST",2008,0
"EST",2009,0
"EST",2010,0
"EST",2011,0
"EST",2012,0
"EST",2013,0
"EST",2014,0
"EST",2015,0
"EST",2016,0
"EST",2017,0
"EST",2018,0
"EST",2019,0
"EST",2020,0
"FIN",2000,0
"FIN",2001,0
"FIN",2002,0
"FIN",2003,0
"FIN",2004,0
"FIN",2005,0
"FIN",2006,0
"FIN",2007,0
"FIN",2008,0
"FIN",2009,0
"FIN",2010,0
"FIN",2011,0
"FIN",2012,0
"FIN",2013,0
"FIN",2014,0
"FIN",2015,0
"FIN",2016,0
"FIN",2017,1
"FIN",2018,0
"FIN",2019,0
"FIN",2020,0
"FRA",2000,3
"FRA",2001,1
"FRA",2002,7
"FRA",2003,3
"FRA",2004,1
"FRA",2005,0
"FRA",2006,0
"FRA",2007,1
"FRA",2008,1
"FRA",2009,0
"FRA",2010,3
"FRA",2011,2
"FRA",2012,3
"FRA",2013,2
"FRA",2014,0
"FRA",2015,5
"FRA",2016,3
"FRA",2017,5
"FRA",2018,2
"FRA",2019,0
"FRA",2020,6
"GBR",2000,5
"GBR",2001,4
"GBR",2002,4
"GBR",2003,5
"GBR",2004,1
"GBR",2005,8
"GBR",2006,1
"GBR",2007,3
"GBR",2008,0
"GBR",2009,0
"GBR",2010,2
"GBR",2011,0
"GBR",2012,0
"GBR",2013,4
"GBR",2014,0
"GBR",2015,1
"GBR",2016,2
"GBR",2017,6
"GBR",2018,0
"GBR",2019,5
"GBR",2020,2
"GRC",2000,6
"GRC",2001,0
"GRC",2002,0
"GRC",2003,8
"GRC",2004,4
"GRC",2005,0
"GRC",2006,0
"GRC",2007,1
"GRC",2008,1
"GRC",2009,2
"GRC",2010,14
"GRC",2011,0
"GRC",2012,0
"GRC",2013,2
"GRC",2014,3
"GRC",2015,1
"GRC",2016,1
"GRC",2017,2
"GRC",2018,2
"GRC",2019,27
"GRC",2020,0
"HRV",2000,0
"HRV",2001,0
"HRV",2002,0
"HRV",2003,0
"HRV",2004,0
"HRV",2005,0
"HRV",2006,0
"HRV",2007,0
"HRV",2008,1
"HRV",2009,0
"HRV",2010,0
"HRV",2011,0
"HRV",2012,0
"HRV",2013,0
"HRV",2014,0
"HRV",2015,0
"HRV",2016,1
"HRV",2017,0
"HRV",2018,0
"HRV",2019,0
"HRV",2020,0
"HUN",2000,0
"HUN",2001,0
"HUN",2002,0
"HUN",2003,0
"HUN",2004,1
"HUN",2005,0
"HUN",2006,0
"HUN",2007,0
"HUN",2008,0
"HUN",2009,0
"HUN",2010,0
"HUN",2011,0
"HUN",2012,0
"HUN",2013,0
"HUN",2014,0
"HUN",2015,0
"HUN",2016,0
"HUN",2017,0
"HUN",2018,0
"HUN",2019,0
"HUN",2020,0
"ITA",2000,0
"ITA",2001,1
"ITA",2002,6
"ITA",2003,7
"ITA",2004,13
"ITA",2005,0
"ITA",2006,1
"ITA",2007,0
"ITA",2008,0
"ITA",2009,2
"ITA",2010,4
"ITA",2011,1
"ITA",2012,1
"ITA",2013,1
"ITA",2014,0
"ITA",2015,0
"ITA",2016,0
"ITA",2017,0
"ITA",2018,1
"ITA",2019,0
"ITA",2020,0
"LTU",2000,0
"LTU",2001,0
"LTU",2002,0
"LTU",2003,0
"LTU",2004,0
"LTU",2005,0
"LTU",2006,0
"LTU",2007,0
"LTU",2008,0
"LTU",2009,0
"LTU",2010,0
"LTU",2011,0
"LTU",2012,0
"LTU",2013,0
"LTU",2014,0
"LTU",2015,0
"LTU",2016,0
"LTU",2017,0
"LTU",2018,0
"LTU",2019,0
"LTU",2020,0
"LUX",2000,0
"LUX",2001,0
"LUX",2002,0
"LUX",2003,0
"LUX",2004,0
"LUX",2005,0
"LUX",2006,0
"LUX",2007,0
"LUX",2008,0
"LUX",2009,0
"LUX",2010,0
"LUX",2011,0
"LUX",2012,0
"LUX",2013,0
"LUX",2014,0
"LUX",2015,0
"LUX",2016,0
"LUX",2017,0
"LUX",2018,0
"LUX",2019,0
"LUX",2020,0
"LVA",2000,0
"LVA",2001,0
"LVA",2002,0
"LVA",2003,0
"LVA",2004,0
"LVA",2005,0
"LVA",2006,0
"LVA",2007,0
"LVA",2008,0
"LVA",2009,0
"LVA",2010,0
"LVA",2011,0
"LVA",2012,0
"LVA",2013,0
"LVA",2014,0
"LVA",2015,0
"LVA",2016,0
"LVA",2017,0
"LVA",2018,0
"LVA",2019,0
"LVA",2020,0
"MKD",2000,0
"MKD",2001,0
"MKD",2002,0
"MKD",2003,0
"MKD",2004,0
"MKD",2005,0
"MKD",2006,0
"MKD",2007,0
"MKD",2008,0
"MKD",2009,0
"MKD",2010,0
"MKD",2011,0
"MKD",2012,0
"MKD",2013,0
"MKD",2014,0
"MKD",2015,0
"MKD",2016,0
"MKD",2017,0
"MKD",2018,0
"MKD",2019,0
"MKD",2020,0
"MNE",2000,0
"MNE",2001,0
"MNE",2002,0
"MNE",2003,0
"MNE",2004,0
"MNE",2005,0
"MNE",2006,0
"MNE",2007,0
"MNE",2008,0
"MNE",2009,0
"MNE",2010,0
"MNE",2011,0
"MNE",2012,0
"MNE",2013,0
"MNE",2014,0
"MNE",2015,0
"MNE",2016,0
"MNE",2017,0
"MNE",2018,0
"MNE",2019,0
"MNE",2020,0
"NLD",2000,0
"NLD",2001,0
"NLD",2002,0
"NLD",2003,3
"NLD",2004,0
"NLD",2005,0
"NLD",2006,0
"NLD",2007,0
"NLD",2008,0
"NLD",2009,1
"NLD",2010,1
"NLD",2011,1
"NLD",2012,0
"NLD",2013,0
"NLD",2014,0
"NLD",2015,1
"NLD",2016,0
"NLD",2017,0
"NLD",2018,1
"NLD",2019,1
"NLD",2020,3
"NOR",2000,0
"NOR",2001,0
"NOR",2002,0
"NOR",2003,1
"NOR",2004,0
"NOR",2005,0
"NOR",2006,0
"NOR",2007,0
"NOR",2008,0
"NOR",2009,0
"NOR",2010,1
"NOR",2011,1
"NOR",2012,0
"NOR",2013,0
"NOR",2014,0
"NOR",2015,0
"NOR",2016,0
"NOR",2017,0
"NOR",2018,0
"NOR",2019,1
"NOR",2020,1
"POL",2000,0
"POL",2001,0
"POL",2002,0
"POL",2003,0
"POL",2004,0
"POL",2005,0
"POL",2006,0
"POL",2007,0
"POL",2008,0
"POL",2009,1
"POL",2010,0
"POL",2011,0
"POL",2012,0
"POL",2013,0
"POL",2014,0
"POL",2015,0
"POL",2016,0
"POL",2017,1
"POL",2018,0
"POL",2019,0
"POL",2020,1
"PRT",2000,0
"PRT",2001,0
"PRT",2002,0
"PRT",2003,0
"PRT",2004,0
"PRT",2005,0
"PRT",2006,0
"PRT",2007,0
"PRT",2008,0
"PRT",2009,0
"PRT",2010,0
"PRT",2011,0
"PRT",2012,0
